Actif;Skewness;Excess_Kurtosis;JB_p_value;LjungBox_Ret_p;LjungBox_Sq_p;Leverage_Corr;AIC_Norm;VaR_Hist_5pct;CVaR_Hist_5pct;VaR_Stud_5pct;CoVaR_95
USA;-0.000610478191180433;7.94393904013951;0;0.000299897230672141;0;-0.147221936138341;-11156.4822919509;0.0174583970641304;0.0285288099296931;0.0123547087665354;0.0174583970641304
Europe;-0.741552427847581;10.344552673178;0;0.00609851633050773;0;-0.00866065677823155;-11239.8058716966;0.0170992287378523;0.0276418229553049;0.0129222521242885;0.0268921011348662
Japon;-0.336889621463226;7.82051511685291;0;0.00739666064699085;0;-0.213467864812159;-10321.3772716503;0.0198971278028246;0.0304323105104936;0.0151103884236968;0.022579848180087
Chine;-0.148319517011394;2.46036859636149;0;0.000618185358462475;0;0.0706232722567921;-11438.069626094;0.015414594195035;0.0233776347666377;0.012244737104633;0.019276752034077
Hong_Kong;0.154773622123448;0.513989542360627;0;0.514067920754188;0;0.00756188060992431;-10165.2581185464;0.0215129710964552;0.0291050129797731;0.0180816989637805;0.0219332722482567
Inde;-0.283470616357833;5.53284571147717;0;0.00047941932902118;0;-0.0306097454554704;-11302.8947885649;0.0132030397109579;0.0216966189207344;0.0107095193711845;0.0232027247505483
Bresil;-0.569707501451;14.5507603889557;0;3.64859574220056e-07;0;-0.161570114619806;-10367.1999808301;0.0205759104893798;0.0308237965920971;0.0160114910659047;0.0263296328160807
Afrique_du_Sud;0.0416536431516773;904.044028030745;0;0;0;-0.500095108799815;-530.545599359258;0.0173378580934189;0.0940164611965605;0.0136136900208466;0.0180493373333485
Australie;-0.619049539919641;5.04213159392048;0;9.10721509317369e-08;0;-0.00386357091271259;-12295.0193846312;0.0147476003468993;0.0225311627373;0.0105154667829455;0.0236437573909173
Egypte;-6.0954644828984;123.897376400771;0;0.418261973578;0.999988765491788;-0.0459163189236627;-7171.47114411516;0.0228103218564133;0.0386476850821674;0.0174678825222195;0.02728594371046
